Wall time,Step,Value
1670899340.6361356,172,21.36923599243164
1670899422.2348707,244,18.59288215637207
1670899439.2631922,259,19.528833389282227
1670899602.0322032,402,23.923561096191406
1670899673.4578784,465,32.57378005981445
1670899724.4759145,510,17.563413619995117
1670899756.289553,538,20.347091674804688
1670899776.6224182,556,24.34755516052246
1670899822.1377182,596,16.295166015625
1670899892.4238265,658,20.417171478271484
1670900013.4364398,764,17.497364044189453
1670900058.8347166,804,16.49517822265625
1670900129.2705748,866,25.9349308013916
1670900311.2788045,1026,20.021038055419922
1670900323.7996943,1037,16.570316314697266
1670900424.137946,1125,12.267234802246094
1670900432.1438506,1132,25.88155746459961
1670900468.7476223,1164,20.656213760375977
1670900491.582963,1184,16.630695343017578
1670900569.5259593,1252,12.286280632019043
1670900591.2551634,1271,17.503610610961914
1670900757.3210044,1417,22.996665954589844
1670900803.89416,1458,17.71613883972168
1670900844.761913,1494,15.497445106506348
1670900862.9423902,1510,9.147778511047363
1670900906.1528974,1548,16.829801559448242
1670900925.4541142,1565,20.3736515045166
1670901044.550986,1670,15.204767227172852
1670901352.6201763,1940,17.986665725708008
1670901375.4273777,1960,19.876834869384766
1670901919.6101046,2436,24.246641159057617
1670901925.3156285,2441,14.338461875915527
1670901949.8243287,2462,11.194269180297852
1670901997.3815813,2503,10.980145454406738
1670902081.9052489,2577,10.67469596862793
1670902157.1243317,2643,14.705259323120117
1670902203.752234,2684,23.215984344482422
1670902214.0246518,2693,15.311041831970215
1670902231.051716,2708,18.27693748474121
1670902241.316965,2717,10.001395225524902
1670902299.2475464,2768,16.916967391967773
1670902533.5971372,2973,15.91304874420166
1670902658.5650177,3083,14.301030158996582
1670902682.385065,3104,12.8778076171875
1670902683.5293543,3105,16.60724449157715
1670902729.0024118,3145,20.227170944213867
1670902810.9116733,3217,10.668888092041016
1670902838.4379268,3241,14.622313499450684
1670902865.7647023,3265,16.493221282958984
1670902971.2222028,3356,16.325054168701172
1670903135.768447,3500,16.728538513183594
1670903211.3633835,3566,15.100400924682617
1670903250.851015,3600,22.201152801513672
1670903269.0362544,3616,11.374337196350098
1670903312.2195356,3654,17.93092918395996
1670903328.113338,3668,19.724241256713867
1670903331.4994237,3671,11.547629356384277
1670903378.1572638,3712,11.923898696899414
1670903457.7419183,3782,17.073972702026367
1670903532.8310144,3848,18.402395248413086
1670903609.0637798,3915,9.65804672241211
1670903733.1861968,4023,17.647829055786133
1670903830.7204957,4109,10.287503242492676
1670903844.3413243,4121,18.2857608795166
1670903912.4911237,4181,15.689833641052246
1670903924.992504,4192,12.9432373046875
1670903964.735766,4227,16.048437118530273
1670904068.182661,4318,13.764252662658691
1670904079.5430753,4328,17.770906448364258
1670904322.6548743,4539,11.645308494567871
1670904352.5393958,4564,22.50791358947754
1670904496.0272465,4690,12.535859107971191
1670904658.0481339,4832,15.625713348388672
1670904662.5913572,4836,12.707680702209473
1670904952.505803,5090,15.71353816986084
1670905000.1162171,5132,16.144832611083984
1670905004.6379013,5136,14.198561668395996
1670905062.400905,5187,10.242049217224121
1670905077.0876472,5200,18.050567626953125
1670905147.3843858,5262,21.200889587402344
1670905184.8175757,5295,13.154208183288574
1670905260.7517204,5362,15.511255264282227
1670905365.8958287,5454,11.593915939331055
1670905610.0584633,5667,14.412174224853516
1670905799.9372494,5832,16.857412338256836
1670905838.672656,5866,16.974218368530273
1670905853.4266143,5879,15.149312973022461
1670905941.0393858,5956,18.674741744995117
1670905969.4474757,5981,18.542224884033203
1670905987.6614606,5997,12.247234344482422
1670906051.2561634,6053,17.894973754882812
1670906149.1197171,6138,9.973734855651855
1670906247.842668,6225,12.821352005004883
1670906308.9192796,6279,10.974726676940918
1670906371.404776,6334,18.212696075439453
1670906398.7100184,6358,18.075613021850586
1670906399.841369,6359,18.7122859954834
1670906411.227552,6369,15.900860786437988
1670906639.9390087,6569,15.78827953338623
1670906658.1327865,6585,14.776686668395996
1670906663.8012114,6590,11.41308879852295
1670906674.0647366,6599,12.395123481750488
1670906824.2886183,6730,15.012735366821289
1670906847.0848758,6750,16.953357696533203
1670906960.8770635,6850,11.825736045837402
1670907039.3902104,6919,12.894463539123535
1670907121.0469565,6991,16.085983276367188
1670907126.7284598,6996,16.83706283569336
1670907193.178951,7054,13.171940803527832
1670907419.5564086,7253,13.356009483337402
1670907628.8896723,7436,14.252033233642578
1670907660.631928,7464,18.17799186706543
1670907665.1671553,7468,13.359037399291992
1670907750.2327979,7543,12.853596687316895
1670907819.525404,7604,10.714144706726074
1670907864.9746933,7644,15.637438774108887
1670907961.7936914,7727,11.263314247131348
1670907965.184571,7730,10.234145164489746
1670907994.7367158,7756,18.109285354614258
1670908038.4386983,7794,11.773043632507324
1670908069.3847299,7821,15.83281421661377
1670908258.9120688,7986,15.146530151367188
1670908414.0287058,8122,20.747882843017578
1670908606.1740208,8291,14.715981483459473
1670908900.0847557,8548,11.65323543548584
1670908906.9118078,8554,17.062110900878906
1670908979.605563,8618,11.751550674438477
1670909026.1938536,8659,14.427178382873535
1670909065.9468675,8694,14.049867630004883
1670909100.0081797,8724,10.387959480285645
1670909131.828164,8752,15.804157257080078
1670909159.1682763,8776,10.814826011657715
1670909161.5853,8778,10.276765823364258
1670909214.2741818,8823,19.72265625
1670909225.7046497,8833,12.310948371887207
1670909268.0148494,8870,13.015103340148926
1670909276.029109,8877,11.393707275390625
1670909483.0915654,9058,10.63125991821289
1670909556.2362328,9121,20.004344940185547
1670909591.5307539,9152,10.83343505859375
1670909705.586387,9252,13.343123435974121
1670909749.9912443,9291,19.260068893432617
1670909790.9556148,9327,11.423806190490723
1670909827.3949604,9359,12.398445129394531
1670910031.6837015,9538,16.104305267333984
1670910041.884515,9547,15.05506420135498
1670910182.6338916,9671,19.74924659729004
1670910229.1908817,9712,10.50752067565918
1670910275.7644162,9753,9.82686710357666
1670910276.9121583,9754,9.197335243225098
1670910373.0513859,9837,21.4552059173584
1670910407.2186506,9867,8.587226867675781
1670910438.0277693,9894,12.244561195373535
1670910464.2666411,9917,12.922248840332031
1670910499.670896,9948,11.759178161621094
1670910500.8128304,9949,16.409465789794922
1670910528.2306194,9973,9.064284324645996
1670910535.0793695,9979,8.73228645324707
1670910551.0631104,9993,9.34266185760498
1670910632.2125387,10063,9.254837989807129
1670910662.9542725,10090,7.470550060272217
1670910698.164335,10121,10.79427719116211
1670910717.4610407,10138,12.504890441894531
1670910777.7396085,10191,12.641820907592773
1670910950.805616,10342,11.175018310546875
1670910954.219306,10345,13.538543701171875
1670911011.1792834,10395,10.475306510925293
1670911068.1519728,10445,16.643136978149414
1670911082.9015687,10458,10.259367942810059
1670911131.8473768,10501,16.766298294067383
1670911151.1601074,10518,15.174490928649902
1670911200.1316361,10561,13.488378524780273
1670911293.3624992,10643,12.309015274047852
1670911295.658672,10645,16.504302978515625
1670911367.0362012,10707,11.263859748840332
1670911386.7291262,10724,8.592137336730957
1670911726.4398232,11023,11.654195785522461
1670911741.8626966,11036,10.792373657226562
1670911762.4369524,11054,9.319464683532715
1670911807.928508,11094,8.904720306396484
1670911835.6706161,11118,13.926412582397461
1670911943.0861726,11212,9.054304122924805
1670911949.9459298,11218,12.885221481323242
1670912079.7104118,11331,13.343467712402344
1670912151.5886946,11394,12.951894760131836
1670912168.6334436,11409,9.438708305358887
1670912599.611084,11786,12.30893325805664
1670912637.1404636,11819,14.202009201049805
1670912668.9722905,11847,8.871146202087402
1670912691.661571,11867,9.591940879821777
1670912874.5142336,12027,16.3144588470459
1670912930.0831716,12076,9.039979934692383
1670913042.639709,12175,16.1614990234375
1670913047.1805649,12179,13.015447616577148
1670913204.802602,12316,15.630093574523926
1670913248.2358344,12354,14.042037963867188
1670913298.5319827,12398,7.192924499511719
1670913300.7975705,12400,15.234564781188965
1670913342.9415665,12437,20.11186981201172
1670913388.8273365,12476,12.011293411254883
1670913477.5563831,12554,13.526101112365723
1670913530.9913316,12601,14.109886169433594
1670913652.755418,12708,12.255358695983887
1670913874.3403084,12901,10.567708015441895
1670913878.8856175,12905,11.86287784576416
1670913923.349138,12944,13.331340789794922
1670913955.2095942,12972,10.107996940612793
1670913959.7711864,12976,11.837082862854004
1670914336.123769,13304,12.426152229309082
1670914387.7753024,13349,12.74559497833252
1670914432.3758354,13388,14.910529136657715
1670914466.6110349,13418,10.319791793823242
1670914508.972188,13455,12.542585372924805
1670914585.2426128,13522,17.229576110839844
1670914617.158234,13550,14.754339218139648
1670914701.8707013,13623,13.775561332702637
1670914723.6592972,13642,9.10161018371582
1670914729.3988903,13647,12.299800872802734
1670914906.8570566,13802,10.287140846252441
1670914960.5855951,13849,14.130006790161133
1670915100.0709472,13971,18.28012466430664
1670915110.382657,13980,17.194778442382812
1670915140.6514766,14006,14.085948944091797
1670915186.2685354,14046,11.286226272583008
1670915335.9415908,14177,13.088391304016113
1670915348.501036,14188,9.532325744628906
1670915369.082532,14206,12.81108283996582
1670915428.6454632,14258,10.67305850982666
1670915436.6211703,14265,19.424060821533203
1670915539.9435315,14354,9.494000434875488
1670915547.9167528,14361,13.969681739807129
1670915598.2172241,14405,9.978438377380371
1670915614.1715384,14419,11.251303672790527
1670915748.5262594,14535,14.956503868103027
1670915848.9732203,14623,14.708139419555664
1670915874.163707,14645,13.841193199157715
1670915988.04193,14745,10.452912330627441
1670916072.3275898,14819,18.600261688232422
1670916108.6722448,14851,11.156773567199707
1670916123.4970593,14864,10.127239227294922
1670916301.699326,15019,11.010939598083496
1670916354.0704362,15065,13.752304077148438
1670916359.7197595,15070,14.448826789855957
1670916405.3915892,15110,8.667190551757812
1670916421.3671494,15124,14.829477310180664
1670916454.3848877,15153,16.776960372924805
1670916490.7951167,15185,13.972946166992188
1670916506.726449,15199,14.830172538757324
1670916660.857033,15334,7.951845169067383
1670916703.0861955,15371,13.073474884033203
1670916838.7943237,15490,14.603008270263672
1670916978.765377,15610,12.616215705871582
1670917010.777628,15638,15.038326263427734
1670917149.5256896,15760,10.993897438049316
1670917186.9539218,15793,10.013688087463379
1670917510.0734189,16076,8.652663230895996
1670917556.7978518,16117,11.193169593811035
1670917634.42853,16185,12.618021965026855
1670917635.5627165,16186,13.75173282623291
1670917698.235143,16241,12.550146102905273
1670917781.5149646,16313,7.13153600692749
